,title,author_info,rating,pros,cons,helpful
0,NA,"Jul 1, 2021 - Senior Manager IT in Seattle, WA",4.0,"Pay, time off, and benefits",Large organization with lots of process,Be the first to find this review helpful
1,Great place to work!,"Jun 16, 2021 - Business Development Associate (BDA)",5.0,"Great place to work - great benefits, great culture!",I can't think of any.,Be the first to find this review helpful
2,fast paced great pay,"Jun 16, 2021 - Global Account Manager in Dallas, TX",5.0,fast paced great pay awesome culture,"bureaucracy creeping in, losing focus at times",Be the first to find this review helpful
3,Overall fantastic,"Jun 16, 2021 - General Business Account Executive",5.0,Strong and supportive leadership Phenomenal product and brand recognition Truly care about employee well being More benefits than you know what to do with,"Very fast paced, not really a con but for some it might be Lot of activities that you must do just to check a box and be a good corporate citizen Difficult Onboarding for new hires, drinking from a firehouse is an understatement",Be the first to find this review helpful
4,Good place to work,"Jun 30, 2021 - Software Engineering Manager",4.0,Interesting projects Great benefits Pays well Is vocal about equality for all,Too much red tape too many product features to keep track of in a unified way,Be the first to find this review helpful
5,Exactly as advertised!,"Jun 15, 2021 - Business Development Associate in Indianapolis, IN",5.0,*Great benefits *Inclusive culture *Top knotch sales training program *Good work/life balance,*pay could be better - benchmark against other top tech sales roles and it lags by about 10-15K,Be the first to find this review helpful
6,Awesome Company Culture,"Jun 15, 2021 - Recruiting in Indianapolis, IN",5.0,- Great co-workers - Opportunities for professional development & networking - Amazing benefits,- Growing quickly and process/the ways we work are becoming more complex & slowing down,Be the first to find this review helpful
7,Great Company,"Jun 15, 2021 - Solution Engineer in Los Angeles, CA",5.0,Great company to work for.,None. Great company to work for.,Be the first to find this review helpful
8,Great company. Great culture.,"Jun 15, 2021 - Vice President, Product Management in San Francisco, CA",5.0,Salesforce is a great company with a great culture. Fantastic growth rate (given their scale) creates opportunities for employees.,Salesforce is a big company which means some bureaucracy. I think its's much better than most companies of its size but it's there. Make sure it's your cup of tea...,Be the first to find this review helpful
9,Great place,"Jun 29, 2021 - Senior Director in New York, NY",4.0,Great culture and values. A lot of opportunities still,"Growing into a major corporation, many jobs have more narrow scope than with a smaller company.",Be the first to find this review helpful
10,"Great at some things, not so much others",,3.0,"Good work/life balance, flexible; a lot of smart peers","Difficulty managing tech debt, cross-team issues difficult",Be the first to find this review helpful
11,Great culture,,5.0,Amazing culture and great compensations,"Same as any other big company, bureaucracy.",Be the first to find this review helpful
12,Account Executive,,5.0,"Growing company, many benefits, friendly work environment","Growing too fast, sometimes too many internal political work",Be the first to find this review helpful
13,Review,,4.0,"Benefits, pay, PTO, giving back to my community",A lot of big-company process.,Be the first to find this review helpful
14,"Good company culture, slow growth path",,4.0,"Learn a lot, fast. Great networking Friends outside of work","Long growth path, very slow Favoritism for promotions Encouraged to work overtime regularly, very demanding job",1 person found this review helpful
15,Great culture,,5.0,Tremendous experience working here - came on during pandemic and was great,None to name - all positive,Be the first to find this review helpful
16,Great place to work even remote,,5.0,Lots of room for growth Great training and continuous training Best in class product Work hard play hard,High expectations Monthly quota is SMB can cause you to lose site of relationship building and listening to customers,Be the first to find this review helpful
17,Fun,,5.0,"Fun, Great Resources, Great Leadership",I have not seen any so far,Be the first to find this review helpful
18,Amazing Company to work for,,5.0,"great culture, fast-paced, always learning, great compensation","as salesforce grows, some management hires have been subpar",Be the first to find this review helpful
19,Good Company,,4.0,"Overall good, admirable company to work for",Salaries are lower than market,Be the first to find this review helpful
20,AMAZING PLACE TO WORK,"Jun 25, 2021 - Account Executive in Indianapolis, IN",4.0,"Everything. Industry Leader, great product to sell, and you get to work with great people",Upward mobility was difficult to chart a path,Be the first to find this review helpful
21,Things move slowly and leadership isn't great,"Jun 23, 2021 - Software Engineering SMTS in Burlington, MA",3.0,"Great wlb, great benefits, good tc",Innovation stifled by one size fits all initiatives,1 person found this review helpful
22,Amazing,"Jun 10, 2021 - Business Development Representative (BDR) in Chicago, IL",5.0,Everything you hear about Salesforce is true. It's the best place to work,Sales is hard. A lot of work with little reward.,Be the first to find this review helpful
23,Recruiter are rude,"Jun 10, 2021 - Data Analyst in Kirkland, WA",5.0,- work environment is great,"- recruiter are rude, they don't care",Be the first to find this review helpful
24,none,"Jun 10, 2021 - SMTS Software Engineer in Indianapolis, IN",5.0,Salesforce is a great company,No concerns to share about Salesforce,Be the first to find this review helpful
25,A really great employer,"Jun 24, 2021 - Account Executive in Chicago, IL",4.0,"Great people, benefits, and training",Promoted a few times with no significant pay raise,Be the first to find this review helpful
26,-,"Jun 21, 2021 - Senior Product Marketing Manager in San Francisco, CA",4.0,"good benefits, unlimited time off, equality","too big, promotions are bureaucratic",1 person found this review helpful
27,Fun place very metric driven,"Jun 20, 2021 - Account Executive in Dallas, TX",3.0,"Benefits, training, fun activities during and after work, free snacks and drinks, culture that encourages volunteering - 7days PTO annually for volunteer work",Not transparent about pay structure for Sales You have to pay for parking High pressure sales tactics,2 people found this review helpful
28,Demanding Sales Culture,"Jun 22, 2021 - Account Executive in Los Angeles, CA",3.0,"Benefits, wellness and diversity / inclusion are topics they are making progress on.","Stressful, high demanding Sales Organization - many times unrealistic goals like ""monthly participation"" which mean all AE's commit to bringing in a deal monthly.",1 person found this review helpful
29,Salesforce work,"Jun 9, 2021 - Anonymous Employee",5.0,Nice culture and great workplace,payscale for Techsupport is less,Be the first to find this review helpful
30,Thumbs Up,"Jun 9, 2021 - Senior Sales Manager in Denver, CO",5.0,It is salesforce - it is amazing.,Corporate company with high growth goals,Be the first to find this review helpful
31,Wildly dialed in,"Jun 9, 2021 - BDR in San Francisco, CA",5.0,It's the mothership for sales,There's a ton of stuff to do,Be the first to find this review helpful
32,Pay Components,"Jun 9, 2021 - Principal Data Engineer in Seattle, WA",5.0,Employee performance review is the best part.,"Unlike Microsoft, you have limited opportunity to move across teams within Salesforce",Be the first to find this review helpful
33,big account manager,"Jun 10, 2021 - Sales Associate in Cambridge, MA",5.0,good envoriment have a bright future,"overwork very often, and have no time to enjoy my life",Be the first to find this review helpful
34,Strong opportunities,"Jun 23, 2021 - Enterprise Account Executive",4.0,Many opportunities and company is growing,Too many internal team meetings.,Be the first to find this review helpful
35,Hard times,"Jun 9, 2021 - Recruiter",2.0,Love the company. Benefits are unparalleled. Work is challenging.,"MASSIVE TURNOVER in recruiting. Hasn’t been a day in the past few months where I haven’t seen someone turn in notice. All were top performers, too. We are all burnt out to the point of some seeking professional help for mental health. We have a leader who is a great person but has never worked in recruiting and has no experience or interest in us. Sad to see the recruiting org take a nose dive.",11 people found this review helpful
36,Great place to work,"Jun 8, 2021 - Vice President, Services in New York, NY",5.0,"Competitive compensation, lots of opportunity","grueling pace, lots of organizational swirl",Be the first to find this review helpful
37,Excellent company to work for if you're on the right team,"Jun 8, 2021 - Senior Visual Designer in San Francisco, CA",5.0,"The work/life balance in my role is excellent, and the people/teammates are all really great.",PTO for my tier is not great.,Be the first to find this review helpful
38,SFDC,"Jun 8, 2021 - Engineer in Indianapolis, IN",5.0,Good place to work in USA,No cons as of my experience,Be the first to find this review helpful
39,Great,"Jun 8, 2021 - Software Engineer in Indianapolis, IN",5.0,Treats employees well and great,A lot of people and easy to get lost,Be the first to find this review helpful
40,Great Company With Diversity and Inclusion,,4.0,"Full benefits, paid volunteer time, generous sick and personal time off, profit-sharing, diversity, and other pro-employee benefits.",Cross departments do no work well. Hoarding of knowledge,Be the first to find this review helpful
41,Fine,,3.0,"Nice offices, lots of colleagues",A pea in a pod,Be the first to find this review helpful
42,Very Happy,,5.0,Structure and great leadership throughout,Pay could be more competitive,Be the first to find this review helpful
43,Best Company to work for,,5.0,"Total Compensation, Culture, Benefits, Flex time, swag",Keeping up with massive growth,Be the first to find this review helpful
44,Great place to work for during Covid,,5.0,Amazing culture but fast paced,Constant change happening betweens accounts,Be the first to find this review helpful
45,Great place to work,,5.0,Dedicated and passionate people. A good product that strives to be better.,moves so fast that projects will lose prioritization before they are fully complete.,Be the first to find this review helpful
46,"Terrific teamwork, collaboration, culture",,5.0,Strong teamwork ethic across various Sales teams and Customer Success.,Fast-paced with the need to manage the work-life balance,Be the first to find this review helpful
47,Great place to work!,,5.0,Great work life balance. Able to learn a lot.,Low pay relative to the rest of the industry.,Be the first to find this review helpful
48,Nice company to work in,,5.0,Nice place to work and build your career.,The workload might be not proportional from sprint to sprint.,Be the first to find this review helpful
49,Perfect company,,5.0,The Fast growing cool company,Large already hard to grow,Be the first to find this review helpful
50,Better than most,,4.0,excellent benefits good pay many remote/flex roles,global company driven by share prices/shareholder priorities - currently much focus on ramping up offshore support be prepared to spend time on your own to gain certifications/continue learning/staying up to date,Be the first to find this review helpful
51,Great Company,,5.0,Super Exciting and a great place to learn and launch your career,Can be very corporate at times and cliques are formed,1 person found this review helpful
